Query Number	Algorithm	Coverage %	Query Time Passed
1	evosql	33.33	170
1	evosql	66.67	237
1	evosql	100.00	284
2	evosql	50.00	71
2	evosql	100.00	105
3	evosql	16.67	63
3	evosql	33.33	130
3	evosql	50.00	175
3	evosql	66.67	211
3	evosql	83.33	249
3	evosql	100.00	290
4	evosql	50.00	47
4	evosql	100.00	83
5	evosql	50.00	55
5	evosql	100.00	97
6	evosql	50.00	21
6	evosql	100.00	40
7	evosql	100.00	98
8	evosql	50.00	35
8	evosql	100.00	57
9	evosql	4.35	6302
9	evosql	8.70	6971
9	evosql	13.04	8411
9	evosql	17.39	8498
9	evosql	21.74	8975
9	evosql	26.09	12517
9	evosql	30.43	16555
9	evosql	34.78	21276
9	evosql	39.13	22508
9	evosql	43.48	25810
9	evosql	47.83	30463
9	evosql	52.17	34159
9	evosql	56.52	35561
9	evosql	60.87	37214
9	evosql	65.22	40407
9	evosql	69.57	45954
9	evosql	73.91	52900
9	evosql	78.26	57529
9	evosql	82.61	64712
9	evosql	86.96	69068
9	evosql	91.30	72430
9	evosql	95.65	77785
9	evosql	100.00	79804
10	evosql	14.29	94
10	evosql	28.57	103
10	evosql	42.86	156
10	evosql	57.14	165
10	evosql	71.43	197
10	evosql	85.71	205
10	evosql	100.00	228
11	evosql	20.00	11
11	evosql	40.00	20
11	evosql	60.00	29
11	evosql	80.00	37
11	evosql	100.00	46
12	evosql	33.33	22
12	evosql	66.67	42
12	evosql	100.00	56
13	evosql	50.00	19
13	evosql	100.00	30
14	evosql	20.00	15
14	evosql	40.00	27
14	evosql	60.00	40
14	evosql	80.00	52
14	evosql	100.00	63
15	evosql	50.00	9
15	evosql	100.00	17
17	evosql	50.00	10
17	evosql	100.00	18
18	evosql	12.50	248
18	evosql	25.00	334
18	evosql	37.50	454
18	evosql	50.00	475
18	evosql	62.50	585
18	evosql	75.00	858
18	evosql	87.50	999
18	evosql	100.00	1420
19	evosql	50.00	18
19	evosql	100.00	39
20	evosql	11.11	74
20	evosql	22.22	122
20	evosql	33.33	176
20	evosql	44.44	229
20	evosql	55.56	281
20	evosql	66.67	328
20	evosql	77.78	389
20	evosql	88.89	461
20	evosql	100.00	1752
21	evosql	50.00	32
21	evosql	100.00	48
22	evosql	33.33	16
22	evosql	66.67	29
22	evosql	100.00	44
23	evosql	20.00	9
23	evosql	40.00	48
23	evosql	60.00	57
23	evosql	80.00	66
23	evosql	100.00	91
24	evosql	50.00	10
24	evosql	100.00	21
25	evosql	50.00	19
25	evosql	100.00	38
26	evosql	20.00	17
26	evosql	40.00	38
26	evosql	60.00	56
26	evosql	80.00	72
26	evosql	100.00	87
27	evosql	50.00	25
27	evosql	100.00	49
28	evosql	33.33	14
28	evosql	66.67	26
28	evosql	100.00	38
29	evosql	33.33	21
29	evosql	66.67	39
29	evosql	100.00	55
30	evosql	50.00	32
30	evosql	100.00	56
31	evosql	11.11	44
31	evosql	22.22	66
31	evosql	33.33	86
31	evosql	44.44	101
31	evosql	55.56	152
31	evosql	66.67	166
31	evosql	77.78	179
31	evosql	88.89	195
31	evosql	100.00	259
32	evosql	20.00	13
32	evosql	40.00	24
32	evosql	60.00	35
32	evosql	80.00	46
32	evosql	100.00	54
33	evosql	2.38	209
33	evosql	4.76	44697
33	evosql	7.14	91340
33	evosql	9.52	91478
33	evosql	11.90	91717
33	evosql	14.29	91816
33	evosql	16.67	91932
33	evosql	19.05	92391
33	evosql	21.43	93822
33	evosql	23.81	93960
33	evosql	26.19	94394
33	evosql	28.57	94923
33	evosql	30.95	95140
33	evosql	33.33	95920
33	evosql	35.71	96159
33	evosql	38.10	96267
33	evosql	40.48	96381
33	evosql	42.86	96665
33	evosql	45.24	96788
33	evosql	47.62	96899
33	evosql	50.00	97171
33	evosql	52.38	97281
33	evosql	54.76	97392
33	evosql	57.14	192700
33	evosql	59.52	192821
33	evosql	61.90	192939
33	evosql	64.29	193196
33	evosql	66.67	313471
33	evosql	69.05	314967
33	evosql	71.43	504238
33	evosql	73.81	578134
33	evosql	76.19	727231
33	evosql	78.57	727347
33	evosql	80.95	727571
33	evosql	83.33	727691
33	evosql	85.71	727803
33	evosql	88.10	728146
33	evosql	90.48	803809
33	evosql	92.86	834040
33	evosql	95.24	967158
33	evosql	97.62	1011007
33	evosql	100.00	1022561
34	evosql	20.00	11
34	evosql	40.00	19
34	evosql	60.00	27
34	evosql	80.00	34
34	evosql	100.00	42
35	evosql	14.29	21
35	evosql	28.57	31
35	evosql	42.86	42
35	evosql	57.14	53
35	evosql	71.43	71
35	evosql	85.71	82
35	evosql	100.00	186
36	evosql	33.33	22
36	evosql	66.67	40
36	evosql	100.00	60
37	evosql	5.88	407
37	evosql	11.76	464
37	evosql	17.65	969
37	evosql	23.53	1774
37	evosql	29.41	1974
37	evosql	35.29	2471
37	evosql	41.18	2679
37	evosql	47.06	3144
37	evosql	52.94	3165
37	evosql	58.82	3583
37	evosql	64.71	3669
37	evosql	70.59	4109
37	evosql	76.47	4132
37	evosql	82.35	5056
37	evosql	88.24	5113
37	evosql	94.12	5490
37	evosql	100.00	5685
38	evosql	50.00	28
38	evosql	100.00	48
39	evosql	16.67	18
39	evosql	33.33	30
39	evosql	50.00	40
39	evosql	66.67	50
39	evosql	83.33	60
39	evosql	100.00	70
40	evosql	14.29	64
40	evosql	28.57	78
