Query Number	Algorithm	Path Number	Success Y/N	Runtime	Generations	Number Individual	Message	Exceptions
1	evosql	1	1	730	0	50		
1	evosql	2	1	62	0	50		
1	evosql	3	1	64	0	50		
2	evosql	1	1	49	0	50		
2	evosql	2	1	39	0	50		
3	evosql	1	1	83	0	50		
3	evosql	2	1	141	0	50		
3	evosql	3	1	63	0	50		
3	evosql	4	1	57	0	50		
3	evosql	5	1	46	0	50		
3	evosql	6	1	36	0	50		
4	evosql	1	1	49	0	50		
4	evosql	2	1	28	0	50		
5	evosql	1	1	36	0	50		
5	evosql	2	1	32	0	50		
6	evosql	1	1	23	0	50		
6	evosql	2	1	16	0	50		
7	evosql	1	1	45	0	50		
8	evosql	1	1	27	0	50		
8	evosql	2	1	68	0	50		
9	evosql	1	1	6730	66	3315		
9	evosql	2	1	622	11	589		
9	evosql	3	1	2399	39	1976		
9	evosql	4	1	96	2	149		
9	evosql	5	1	330	3	198		
9	evosql	6	1	1502	24	1234		
9	evosql	7	1	1392	20	1033		
9	evosql	8	1	4367	79	3958		
9	evosql	9	1	1210	19	986		
9	evosql	10	1	4065	59	2979		
9	evosql	11	1	1985	34	1710		
9	evosql	12	1	678	13	693		
9	evosql	13	1	1486	22	1136		
9	evosql	14	1	1838	29	1478		
9	evosql	15	1	1634	28	1437		
9	evosql	16	1	1572	27	1377		
9	evosql	17	1	2339	29	1482		
9	evosql	18	1	4515	73	3656		
9	evosql	19	1	3416	52	2627		
9	evosql	20	1	4465	57	2878		
9	evosql	21	1	4973	57	2877		
9	evosql	22	1	7094	102	5107		
9	evosql	23	1	1995	18	938		
10	evosql	1	1	71	2	149		
10	evosql	2	1	16	0	50		
10	evosql	3	1	40	1	97		
10	evosql	4	1	16	0	50		
10	evosql	5	1	104	3	200		
10	evosql	6	1	17	0	50		
10	evosql	7	1	16	0	50		
11	evosql	1	1	19	0	50		
11	evosql	2	1	25	0	50		
11	evosql	3	1	17	0	50		
11	evosql	4	1	19	0	50		
11	evosql	5	1	14	0	50		
12	evosql	1	1	16	0	50		
12	evosql	2	1	14	0	50		
12	evosql	3	1	20	0	50		
13	evosql	1	1	13	0	50		
13	evosql	2	1	46	0	50		
14	evosql	1	1	23	0	50		
14	evosql	2	1	18	0	50		
14	evosql	3	1	54	1	99		
14	evosql	4	1	11	0	50		
14	evosql	5	1	57	1	98		
15	evosql	1	1	13	0	50		
15	evosql	2	1	9	0	50		
17	evosql	1	1	13	0	50		
17	evosql	2	1	15	0	50		
18	evosql	1	1	429	8	440		
18	evosql	2	1	29	0	50		
18	evosql	3	1	314	6	345		
18	evosql	4	1	25	0	50		
18	evosql	5	1	369	7	386		
18	evosql	6	1	76	2	146		
18	evosql	7	1	142	4	247		
18	evosql	8	1	418	8	447		
19	evosql	1	1	17	0	50		
19	evosql	2	1	17	0	50		
20	evosql	1	1	153	0	50		
20	evosql	2	1	220	0	50		
20	evosql	3	1	92	0	50		
20	evosql	4	1	70	0	50		
20	evosql	5	1	242	0	50		
20	evosql	6	1	70	0	50		
20	evosql	7	1	56	0	50		
20	evosql	8	1	69	0	50		
20	evosql	9	1	519	0	50		
21	evosql	1	1	31	0	50		
21	evosql	2	1	22	0	50		
22	evosql	1	1	23	0	50		
22	evosql	2	1	17	0	50		
22	evosql	3	1	27	0	50		
23	evosql	1	1	12	0	50		
23	evosql	2	1	12	0	50		
23	evosql	3	1	10	0	50		
23	evosql	4	1	15	0	50		
23	evosql	5	1	14	0	50		
24	evosql	1	1	15	0	50		
24	evosql	2	1	34	0	50		
25	evosql	1	1	43	0	50		
