Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	1	[1.0, 0.0, 1.0]
1	MoeSQLmosa	1	2	[0.0, 44.62440476190476, 0.0]
1	MOTGA	0	3	[0.0, 0.0, 0.0]
2	MoeSQLmosa	0	1	[0.0, 13.25981640592921]
2	MoeSQLmosa	1	1	[1.0, 0.0]
2	MOTGA	0	2	[0.0, 0.0]
3	MoeSQLmosa	0	1	[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]
3	MoeSQLmosa	1	1	[1.0, 2.0, 2.0, 2.0, 1.0, 0.0]
3	MoeSQLmosa	2	1	[22.79274891774892, 0.0, 1.0, 23.79274891774892, 22.79274891774892, 23.79274891774892]
3	MoeSQLmosa	3	1	[1.0, 2.0, 2.0, 0.0, 1.0, 2.0]
3	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	MoeSQLmosa	0	1	[1.0, 0.0]
4	MoeSQLmosa	1	1	[0.0, 31.391056957323155]
4	MOTGA	0	2	[0.0, 0.0]
5	MoeSQLmosa	0	2	[0.0, 0.0]
5	MOTGA	0	2	[0.0, 0.0]
6	MoeSQLmosa	0	1	[0.0, 20.534566896587357]
6	MoeSQLmosa	1	1	[1.0, 0.0]
6	MOTGA	0	2	[0.0, 0.0]
7	MoeSQLmosa	0	3	[0.0]
7	MOTGA	0	3	[0.0]
8	MoeSQLmosa	0	2	[0.0, 0.0]
8	MOTGA	0	2	[0.0, 0.0]
9	MoeSQLmosa	0	1	[29.0, 30.0, 30.0, 0.0, 1.0, 138.0, 83.0, 85.0, 193.0, 138.0, 193.0, 84.0, 83.0, 29.0, 83.0, 30.0, 84.0, 30.0, 191.0, 137.0, 137.0, 138.0, 74.3479020979021]
9	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
9	MoeSQLmosa	2	1	[44.0, 45.0, 45.0, 45.0, 45.0, 44.0, 0.0, 1.0, 88.0, 84.0, 0.0, 44.0, 168.0, 84.0, 127.0, 85.0, 0.0, 1.0, 127.0, 84.0, 43.0, 87.0, 48.21969696969697]
