Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	890	3	3	[0.0, 0.0, 0.0]	0	100	
1	MOTGA	8	3	3	[0.0, 0.0, 0.0]	0	7	
2	MoeSQLmosa	73	2	2	[0.0, 0.0]	0	100	
2	MOTGA	6	2	2	[0.0, 0.0]	0	11	
3	MoeSQLmosa	99	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
3	MOTGA	59	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
4	MoeSQLmosa	33	2	2	[0.0, 0.0]	0	100	
4	MOTGA	3	2	2	[0.0, 0.0]	0	11	
5	MoeSQLmosa	72	2	2	[0.0, 0.0]	0	100	
5	MOTGA	6	2	2	[0.0, 0.0]	0	11	
6	MoeSQLmosa	59	2	2	[0.0, 0.0]	0	100	
6	MOTGA	2	2	2	[0.0, 0.0]	0	5	
7	MoeSQLmosa	71	1	1	[0.0]	0	100	
7	MOTGA	1	1	1	[0.0]	0	1	
8	MoeSQLmosa	38	2	2	[0.0, 0.0]	0	100	
8	MOTGA	2	2	2	[0.0, 0.0]	0	5	
9	MoeSQLmosa	50660	23	23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	260	12453	
9	MOTGA	14821	23	23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	6404	
10	MoeSQLmosa	122	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	422	
10	MOTGA	21	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
11	MoeSQLmosa	21	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
11	MOTGA	19	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
12	MoeSQLmosa	36	3	3	[0.0, 0.0, 0.0]	0	100	
12	MOTGA	6	3	3	[0.0, 0.0, 0.0]	0	24	
13	MoeSQLmosa	14	2	2	[0.0, 0.0]	0	100	
13	MOTGA	1	2	2	[0.0, 0.0]	0	5	
14	MoeSQLmosa	52	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
14	MOTGA	17	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
15	MoeSQLmosa	14	2	2	[0.0, 0.0]	0	100	
15	MOTGA	1	2	2	[0.0, 0.0]	0	11	
16	MoeSQLmosa	0	0	0	[]	0	0	
17	MoeSQLmosa	20	2	2	[0.0, 0.0]	0	100	
17	MOTGA	0	2	2	[0.0, 0.0]	0	5	
18	MoeSQLmosa	1209	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	22	1151	
18	MOTGA	295	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	530	
19	MoeSQLmosa	14	2	2	[0.0, 0.0]	0	100	
19	MOTGA	0	2	2	[0.0, 0.0]	0	5	
20	MoeSQLmosa	172	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
20	MOTGA	344	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0]	6	126	
21	MoeSQLmosa	22	2	2	[0.0, 0.0]	0	100	
21	MOTGA	2	2	2	[0.0, 0.0]	0	11	
22	MoeSQLmosa	49	3	3	[0.0, 0.0, 0.0]	0	100	
22	MOTGA	7	3	3	[0.0, 0.0, 0.0]	0	15	
23	MoeSQLmosa	26	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	1	149	
23	MOTGA	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
24	MoeSQLmosa	11	2	2	[0.0, 0.0]	0	100	
24	MOTGA	2	2	2	[0.0, 0.0]	0	11	
25	MoeSQLmosa	26	2	2	[0.0, 0.0]	0	100	
25	MOTGA	2	2	2	[0.0, 0.0]	0	11	
26	MoeSQLmosa	64	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	1	143	
26	MOTGA	23	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
27	MoeSQLmosa	22	2	2	[0.0, 0.0]	0	100	
27	MOTGA	1	2	2	[0.0, 0.0]	0	5	
28	MoeSQLmosa	36	3	3	[0.0, 0.0, 0.0]	0	100	
28	MOTGA	2	3	3	[0.0, 0.0, 0.0]	0	15	
29	MoeSQLmosa	24	3	3	[0.0, 0.0, 0.0]	0	100	
29	MOTGA	1	3	3	[0.0, 0.0, 0.0]	0	7	
30	MoeSQLmosa	31	2	2	[0.0, 0.0]	0	100	
30	MOTGA	1	2	2	[0.0, 0.0]	0	5	
31	MoeSQLmosa	206	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	11	613	
31	MOTGA	326	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	410	
32	MoeSQLmosa	23	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
32	MOTGA	15	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
33	MoeSQLmosa	1804022	41	42	[0.0, 158.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	26716	1335900	
33	MOTGA	3149	41	42	[0.0, 158.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	1	
34	MoeSQLmosa	40	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	3	241	
34	MOTGA	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
35	MoeSQLmosa	72	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4	286	
