9	21						
33	31						
37	18						
48	6						
81	10						
97	8						
135	10						
179	21						
268	10						
370	11						
423	2	5					
480	31						
483	11						
497	15						
536	31						
561	8						
566	2	4					
581	6	8	11	13			
584	31						
605	11	12					
745	4						
821	21						
858	11						
898	21						
909	11						
941	12	13	15	16			
949	11						
979	6						
1016	18						
1043	4	5	6	7	8	11	12
1066	6						
1073	9						
1231	5						
1237	4						
1270	3						
1277	12	13	15	16			
1346	21						
1382	11						
1426	21						
1435	31						
1452	11	12					
1453	11						
1454	20						
1481	11						
1509	20						
1570	10	13	14				
1573	6	8	11	13			
1604	9						
1642	21						
1648	31						
1666	1	3	4	5			
1676	6
