Query Number	Algorithm	Path Number	Success Y/N	Runtime	Generations	Number Individual	Message	Exceptions
1	evosql	1	1	1859	33	1559		
1	evosql	2	1	2554	52	2427		
1	evosql	3	1	2374	52	2425		
1	evosql	4	1	1863	27	1306		
1	evosql	5	1	2432	44	2051		
1	evosql	6	1	5072	78	3597		
1	evosql	7	1	59	0	50		
1	evosql	8	1	1833	30	1417		
1	evosql	9	1	4951	90	4186		
1	evosql	10	1	49	0	50		
1	evosql	11	1	2089	42	1986		
1	evosql	12	1	4808	87	4026		
1	evosql	13	1	173	0	50		
1	evosql	14	1	7321	109	5057		
1	evosql	15	1	56	0	50		
1	evosql	16	1	2669	55	2556		
1	evosql	17	1	96064	1869	85552		
1	evosql	18	0	415027	8307	379652	"Has no output, distance is 11.838544891640868"	
1	evosql	19	1	241	0	50		
1	evosql	20	1	49	0	50		
1	evosql	21	0	415058	3496	160275	"Has no output, distance is 11.941176470588236"	
1	evosql	22	1	74	0	50		
1	evosql	23	1	3171	58	2698		
1	evosql	24	0	415039	5404	247427	"Has no output, distance is 13.8137302889759"	
1	evosql	25	0	415084	6481	296849	"Has no output, distance is 11.70109710550887"	
1	evosql	26	1	66	0	50		
1	evosql	27	1	59	0	50		
2	evosql	1	1	88	3	181		
2	evosql	2	1	317	6	337		
2	evosql	3	1	334	12	598		
2	evosql	4	1	228	7	369		
2	evosql	5	1	65	2	136		
2	evosql	6	1	207	0	50		
2	evosql	7	1	177	6	318		
2	evosql	8	1	1447	41	1954		
2	evosql	9	1	32	0	50		
2	evosql	10	1	380	5	274		
2	evosql	11	1	756	11	557		
2	evosql	12	1	34	0	50		
2	evosql	13	1	118	4	237		
2	evosql	14	1	827	22	1072		
2	evosql	15	1	36	0	50		
2	evosql	16	1	119	4	236		
2	evosql	17	1	40	0	50		
2	evosql	18	1	383	6	326		
3	evosql	1	1	2991	68	3169		
3	evosql	2	1	3856	43	2003		
3	evosql	3	1	1587	34	1581		
3	evosql	4	1	1764	25	1174		
3	evosql	5	1	2879	63	2931		
3	evosql	6	1	3337	64	2947		
3	evosql	7	1	3734	87	4047		
3	evosql	8	1	172	0	50		
