Query Number	Algorithm	Coverage %	Query Time Passed
1	evosql	3.7	1399
1	evosql	7.41	2670
1	evosql	11.11	5991
1	evosql	14.81	8599
1	evosql	18.52	12400
1	evosql	22.22	14841
1	evosql	25.93	14900
1	evosql	29.63	17347
1	evosql	33.33	21174
1	evosql	37.04	21234
1	evosql	40.74	24122
1	evosql	44.44	27141
1	evosql	48.15	27196
1	evosql	51.85	29670
1	evosql	55.56	29723
1	evosql	59.26	33566
1	evosql	62.96	205572
1	evosql	66.67	205633
1	evosql	70.37	205684
1	evosql	74.07	425224
1	evosql	77.78	426898
1	evosql	81.48	1011485
1	evosql	85.19	1011549
2	evosql	5.56	150
2	evosql	11.11	280
2	evosql	16.67	759
2	evosql	22.22	1049
2	evosql	27.78	1244
2	evosql	33.33	1276
2	evosql	38.89	2095
2	evosql	44.44	2291
2	evosql	50	2324
2	evosql	55.56	2597
2	evosql	61.11	3337
2	evosql	66.67	3526
2	evosql	72.22	3763
2	evosql	77.78	4341
2	evosql	83.33	4532
2	evosql	88.89	4655
2	evosql	94.44	4692
2	evosql	100	5072
3	evosql	3.57	3460
3	evosql	7.14	4069
3	evosql	10.71	4936
3	evosql	14.29	7021
3	evosql	17.86	8266
3	evosql	21.43	9946
3	evosql	25	15633
3	evosql	28.57	15692
3	evosql	32.14	18214
3	evosql	35.71	21580
3	evosql	39.29	21788
3	evosql	42.86	24424
3	evosql	46.43	28885
3	evosql	50	28938
3	evosql	53.57	31005
3	evosql	57.14	31054
3	evosql	60.71	34605
3	evosql	64.29	42891
3	evosql	67.86	48382
3	evosql	71.43	48531
3	evosql	75	48581
3	evosql	78.57	55567
3	evosql	82.14	55635
3	evosql	85.71	56986
3	evosql	89.29	60348
3	evosql	92.86	79509
3	evosql	96.43	79582
3	evosql	100	79826
4	evosql	20	6
4	evosql	40	11
4	evosql	60	15
4	evosql	80	19
4	evosql	100	24
5	evosql	25	8
5	evosql	50	14
5	evosql	75	19
5	evosql	100	25
6	evosql	16.67	11
6	evosql	33.33	20
6	evosql	50	33
6	evosql	66.67	49
6	evosql	83.33	67
6	evosql	100	278
7	evosql	25	5
7	evosql	50	10
7	evosql	75	14
7	evosql	100	19
8	evosql	16.67	10
8	evosql	33.33	26
8	evosql	50	48
8	evosql	66.67	65
8	evosql	83.33	81
8	evosql	100	174
9	evosql	14.29	25
9	evosql	28.57	30
9	evosql	42.86	40
9	evosql	57.14	48
9	evosql	71.43	53
9	evosql	85.71	59
9	evosql	100	65
10	evosql	16.67	17
10	evosql	33.33	25
10	evosql	50	32
10	evosql	66.67	49
10	evosql	83.33	65
10	evosql	100	211
11	evosql	20	6
11	evosql	40	11
11	evosql	60	18
11	evosql	80	23
11	evosql	100	28
12	evosql	20	42
12	evosql	40	47
12	evosql	60	55
12	evosql	80	60
12	evosql	100	68
13	evosql	20	6
13	evosql	40	12
13	evosql	60	17
13	evosql	80	22
13	evosql	100	28
14	evosql	25	5
14	evosql	50	11
14	evosql	75	16
14	evosql	100	21
15	evosql	6.25	69
15	evosql	12.5	168
15	evosql	18.75	233
15	evosql	25	477
15	evosql	31.25	543
15	evosql	37.5	677
15	evosql	43.75	701
15	evosql	50	748
15	evosql	56.25	1019
15	evosql	62.5	1046
15	evosql	68.75	1092
15	evosql	75	1607
15	evosql	81.25	1631
15	evosql	87.5	1673
15	evosql	93.75	2076
15	evosql	100	2101
16	evosql	2.33	4164
16	evosql	4.65	6781
16	evosql	6.98	7793
16	evosql	9.3	9864
16	evosql	11.63	13418
16	evosql	13.95	15764
16	evosql	16.28	18113
16	evosql	18.6	22515
16	evosql	20.93	25794
16	evosql	23.26	25853
16	evosql	25.58	27417
16	evosql	27.91	29939
16	evosql	30.23	29994
16	evosql	32.56	33637
16	evosql	34.88	39037
16	evosql	37.21	39327
16	evosql	39.53	41731
16	evosql	41.86	41784
16	evosql	44.19	44869
16	evosql	46.51	51536
16	evosql	48.84	58390
16	evosql	51.16	58459
16	evosql	53.49	58510
16	evosql	55.81	60047
16	evosql	58.14	60110
16	evosql	60.47	61542
16	evosql	62.79	66071
16	evosql	65.12	69949
16	evosql	67.44	70012
16	evosql	69.77	70071
16	evosql	72.09	70437
16	evosql	74.42	71507
16	evosql	76.74	72152
16	evosql	79.07	72496
16	evosql	81.4	73552
16	evosql	83.72	73750
16	evosql	86.05	74965
16	evosql	88.37	76602
16	evosql	90.7	77277
16	evosql	93.02	78373
16	evosql	95.35	79003
16	evosql	97.67	79056
16	evosql	100	79303
17	evosql	20	6
17	evosql	40	10
17	evosql	60	14
17	evosql	80	18
17	evosql	100	22
18	evosql	3.13	1542
18	evosql	6.25	4366
18	evosql	9.38	8014
18	evosql	12.5	12931
18	evosql	15.63	16100
18	evosql	18.75	17853
18	evosql	21.88	21108
18	evosql	25	21164
18	evosql	28.13	23124
18	evosql	31.25	29683
18	evosql	34.38	29744
18	evosql	37.5	36721
18	evosql	40.63	42785
18	evosql	43.75	42844
18	evosql	46.88	46259
18	evosql	50	46328
18	evosql	53.13	49025
18	evosql	56.25	54636
18	evosql	59.38	68792
18	evosql	62.5	68857
18	evosql	65.63	68912
18	evosql	68.75	71537
18	evosql	71.88	71707
18	evosql	75	75412
18	evosql	78.13	80061
18	evosql	81.25	85781
18	evosql	84.38	85856
18	evosql	87.5	85925
18	evosql	90.63	89568
18	evosql	93.75	96694
18	evosql	96.88	101071
18	evosql	100	104241
19	evosql	3.33	5992
19	evosql	6.67	12769
19	evosql	10	17350
19	evosql	13.33	24852
19	evosql	16.67	28458
19	evosql	20	35258
19	evosql	23.33	35320
19	evosql	26.67	44525
19	evosql	30	51135
19	evosql	33.33	51203
19	evosql	36.67	61295
19	evosql	40	72954
19	evosql	43.33	73208
19	evosql	46.67	80987
19	evosql	50	81052
19	evosql	53.33	88691
19	evosql	56.67	333362
19	evosql	60	333420
19	evosql	63.33	476359
19	evosql	66.67	483042
19	evosql	70	824193
19	evosql	73.33	824266
19	evosql	76.67	1037588
19	evosql	80	1039204
20	evosql	3.03	2385
20	evosql	6.06	4901
20	evosql	9.09	9585
20	evosql	12.12	15415
