Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	44836	27	27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	173	8750	
1	MOTGA	6712	27	27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0]	13	837	
2	MoeSQLmosa	7926	18	18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	79	4050	
2	MOTGA	8351	18	18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0]	12	737	
3	MoeSQLmosa	71434	28	28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	284	14300	
3	MOTGA	246162	28	28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 1.0]	23	2023	
4	MoeSQLmosa	17	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
4	MOTGA	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
5	MoeSQLmosa	12	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
5	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
6	MoeSQLmosa	117	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	10	600	
6	MOTGA	234	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 3.0]	3	178	
7	MoeSQLmosa	8	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
7	MOTGA	3	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
