Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	6	[20.29715245194099, 8.0, 12.29715245194099, 13.29715245194099, 20.29715245194099, 21.29715245194099, 0.0, 14.493192787604553, 14.493192787604553, 0.0, 14.493192787604553, 14.493192787604553, 0.0, 14.493192787604553, 24.166670464038887, 4.0, 14.493192787604553, 14.493192787604553, 0.0, 1.0, 14.493192787604553, 29.0, 4.0, 14.493192787604553, 14.493192787604553, 0.0, 1.0]
1	MoeSQLmosa	1	6	[12.0, 17.92857142857143, 13.0, 13.0, 12.0, 13.0, 0.0, 17.92857142857143, 17.92857142857143, 0.0, 17.92857142857143, 17.92857142857143, 0.0, 17.92857142857143, 57.5, 4.0, 17.92857142857143, 17.92857142857143, 0.0, 1.0, 17.92857142857143, 0.0, 4.0, 17.92857142857143, 17.92857142857143, 2.0, 1.0]
1	MoeSQLmosa	2	6	[13.95663120136846, 14.0, 14.95663120136846, 14.95663120136846, 13.95663120136846, 14.95663120136846, 0.0, 14.0, 14.0, 0.0, 14.0, 14.0, 0.0, 14.0, 29.88235294117647, 4.0, 14.0, 14.0, 0.0, 1.0, 14.0, 1.0, 3.0, 14.0, 14.0, 1.0, 0.0]
1	MoeSQLmosa	3	6	[8.0, 9.0, 0.5, 1.0, 8.0, 9.0, 0.0, 0.5, 0.5, 0.0, 0.5, 0.5, 2.0, 0.5, 0.0, 4.0, 0.5, 0.5, 2.0, 1.0, 0.5, 1.0, 3.0, 0.5, 0.5, 0.0, 1.0]
1	MoeSQLmosa	4	6	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 12.29715245194099, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 14.666666666666666, 14.666666666666666, 0.0, 14.666666666666666, 14.666666666666666, 0.0, 14.666666666666666, 3.595386269724631E306, 4.0, 14.666666666666666, 14.666666666666666, 1.0, 0.0, 14.666666666666666, 25.857142857142858, 4.0, 14.666666666666666, 14.666666666666666, 0.0, 1.0]
1	MoeSQLmosa	5	7	[18.48246492865117, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 0.0, 60.33333333333333, 4.0, 18.48246492865117, 18.48246492865117, 0.0, 1.0, 18.48246492865117, 2.0, 4.0, 18.48246492865117, 18.48246492865117, 2.0, 1.0]
1	MoeSQLmosa	6	7	[26.727899159663863, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 0.0, 36.485256045124466, 4.0, 26.727899159663863, 26.727899159663863, 0.0, 1.0]
1	MoeSQLmosa	7	6	[12.0, 14.75, 13.0, 13.0, 12.0, 13.0, 0.0, 14.75, 14.75, 0.0, 14.75, 14.75, 0.0, 14.75, 4.0, 0.0, 14.75, 14.75, 2.0, 1.0, 14.75, 41.0, 4.0, 14.75, 14.75, 0.0, 1.0]
1	MoeSQLmosa	8	7	[20.75, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 5.0, 2.0, 4.0, 0.0, 1.0, 0.0, 1.0]
1	MoeSQLmosa	9	7	[8.75, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 0.0, 1.0, 0.0, 1.0, 8.75, 2.0, 4.0, 8.75, 8.75, 2.0, 1.0]
1	MoeSQLmosa	10	7	[21.666666666666664, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 21.666666666666664, 21.666666666666664, 0.0, 21.666666666666664, 21.666666666666664, 2.0, 21.666666666666664, 2.0, 4.0, 21.666666666666664, 21.666666666666664, 2.0, 1.0, 21.666666666666664, 2.0, 4.0, 21.666666666666664, 21.666666666666664, 2.0, 1.0]
1	MoeSQLmosa	11	7	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	12	8	[0.0, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 0.0, 1.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0]
1	MoeSQLmosa	13	7	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	14	7	[6.9411764705882355, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 0.0, 1.0, 0.0, 6.9411764705882355, 2.0, 4.0, 6.9411764705882355, 6.9411764705882355, 2.0, 1.0, 6.9411764705882355, 2.0, 4.0, 6.9411764705882355, 6.9411764705882355, 2.0, 1.0]
1	MoeSQLmosa	15	6	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	16	7	[1.7976931348623156E306, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	17	7	[8.0, 9.0, 0.0, 1.0, 10.0, 11.0, 0.0, 10.0, 11.0, 2.0, 10.0, 11.0, 0.0, 13.0, 2.0, 4.0, 11.0, 12.0, 2.0, 1.0, 13.0, 2.0, 4.0, 11.0, 12.0, 2.0, 1.0]
1	MoeSQLmosa	18	7	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 1.0, 0.0, 0.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	19	6	[12.161091461656074, 14.833333333333332, 13.161091461656074, 13.161091461656074, 12.161091461656074, 13.161091461656074, 0.0, 14.833333333333332, 14.833333333333332, 2.0, 14.833333333333332, 14.833333333333332, 2.0, 14.833333333333332, 3.595386269724631E306, 4.0, 14.833333333333332, 14.833333333333332, 1.0, 0.0, 14.833333333333332, 4.0, 0.0, 14.833333333333332, 14.833333333333332, 2.0, 1.0]
1	MoeSQLmosa	20	7	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 5.0, 2.0, 4.0, 1.0, 0.0, 0.0, 1.0]
1	MoeSQLmosa	21	7	[12.5, 0.0, 13.5, 13.5, 14.5, 15.5, 0.0, 14.5, 15.5, 2.0, 14.5, 15.5, 0.0, 17.5, 2.0, 4.0, 15.5, 16.5, 2.0, 1.0, 17.5, 2.0, 4.0, 15.5, 16.5, 2.0, 1.0]
1	MOTGA	0	10	[0.0, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 0.0, 1.0, 2.0, 2.0, 3.0, 0.0, 5.0, 2.0, 6.0, 0.0, 1.0, 0.0, 2.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0]
1	MOTGA	1	10	[1.7976931348623156E306, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 3.0, 0.0, 1.0, 0.0, 2.0, 1.7976931348623156E306, 2.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MOTGA	2	7	[27.227899159663863, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 0.0, 36.485256045124466, 4.0, 27.227899159663863, 27.227899159663863, 0.0, 1.0]
1	MOTGA	3	7	[18.42690937309561, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 0.0, 60.33333333333333, 4.0, 18.42690937309561, 18.42690937309561, 0.0, 1.0, 18.42690937309561, 2.0, 4.0, 18.42690937309561, 18.42690937309561, 2.0, 1.0]
1	MOTGA	4	17	[0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 0.0, 2.0, 3.0, 0.0, 2.0, 3.0, 0.0, 5.0, 2.0, 8.0, 1.0, 0.0, 2.0, 0.0, 5.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.0]
1	MOTGA	5	10	[0.0, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 5.0, 2.0, 6.0, 0.0, 1.0, 2.0, 1.0]
2	MoeSQLmosa	0	4	[15.700574966828837, 8.0, 1.0, 8.0, 9.0, 0.0, 15.700574966828837, 15.700574966828837, 0.0, 15.700574966828837, 15.700574966828837, 0.0, 15.700574966828837, 15.700574966828837, 0.0, 15.700574966828837, 0.0, 3.0]
2	MoeSQLmosa	1	4	[1.0, 16.0, 1.0, 16.0, 1.0, 0.0, 16.0, 16.0, 0.0, 16.0, 16.0, 0.0, 16.0, 16.0, 0.0, 16.0, 1.0, 2.0]
2	MoeSQLmosa	2	6	[1.0, 1.7976931348623156E306, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 0.0, 1.0, 2.0]
2	MoeSQLmosa	3	4	[1.0, 15.5, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0, 0.0, 15.5, 2.0, 3.0]
2	MoeSQLmosa	4	4	[1.0, 1.7976931348623156E306, 1.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 3.0]
2	MoeSQLmosa	5	4	[1.0, 1.7976931348623156E306, 1.0, 2.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 3.0]
2	MoeSQLmosa	6	4	[1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 3.0]
2	MoeSQLmosa	7	4	[1.0, 11.666666666666666, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0, 0.0, 11.666666666666666, 11.666666666666666, 2.0, 11.666666666666666, 2.0, 3.0]
2	MoeSQLmosa	8	5	[1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 4.0, 2.0, 3.0]
2	MoeSQLmosa	9	4	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 3.0]
2	MoeSQLmosa	10	5	[0.0, 8.0, 1.0, 10.0, 11.0, 0.0, 10.0, 11.0, 2.0, 10.0, 11.0, 2.0, 10.0, 11.0, 2.0, 12.0, 2.0, 3.0]
2	MoeSQLmosa	11	4	[1.0, 16.0, 1.0, 0.0, 1.0, 0.0, 16.0, 16.0, 2.0, 16.0, 16.0, 2.0, 16.0, 16.0, 2.0, 16.0, 2.0, 3.0]
2	MoeSQLmosa	12	4	[1.7976931348623156E306, 1.7976931348623156E306, 16.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 16.0, 16.0, 2.0, 16.0, 16.0, 0.0, 16.0, 3.0, 0.0]
2	MoeSQLmosa	13	5	[1.0, 1.7976931348623156E306, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 3.0]
2	MoeSQLmosa	14	4	[1.0, 1.7976931348623156E306, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 2.0, 3.0]
2	MOTGA	0	5	[1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 3.0]
2	MOTGA	1	9	[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 3.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 4.0, 2.0, 3.0]
2	MOTGA	2	14	[0.0, 13.75, 0.0, 0.0, 1.0, 0.0, 2.0, 3.0, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 2.0, 5.0]
