Query Number	Algorithm	Coverage %	Query Time Passed
1	evosql	33.33	108
1	evosql	66.67	142
1	evosql	100.00	168
2	evosql	20.00	56
2	evosql	40.00	97
2	evosql	60.00	131
2	evosql	80.00	161
2	evosql	100.00	189
3	evosql	11.11	84
3	evosql	22.22	168
3	evosql	33.33	299
3	evosql	44.44	365
3	evosql	55.56	445
3	evosql	66.67	625
3	evosql	77.78	728
3	evosql	88.89	776
3	evosql	100.00	814
4	evosql	10.00	71
4	evosql	20.00	173
4	evosql	30.00	224
4	evosql	40.00	289
4	evosql	50.00	335
4	evosql	60.00	373
4	evosql	70.00	404
4	evosql	80.00	439
4	evosql	90.00	483
4	evosql	100.00	550
5	evosql	12.50	66
5	evosql	25.00	94
5	evosql	37.50	141
5	evosql	50.00	166
5	evosql	62.50	257
5	evosql	75.00	285
5	evosql	87.50	312
5	evosql	100.00	345
6	evosql	33.33	24
6	evosql	66.67	46
6	evosql	100.00	104
7	evosql	20.00	30
7	evosql	40.00	58
7	evosql	60.00	92
7	evosql	80.00	125
7	evosql	100.00	159
8	evosql	33.33	22
8	evosql	66.67	38
8	evosql	100.00	55
9	evosql	33.33	12
9	evosql	66.67	23
9	evosql	100.00	36
10	evosql	25.00	23
10	evosql	50.00	36
10	evosql	75.00	50
10	evosql	100.00	62
11	evosql	50.00	23
11	evosql	100.00	43
12	evosql	14.29	19
12	evosql	28.57	34
12	evosql	42.86	49
12	evosql	57.14	65
12	evosql	71.43	79
12	evosql	85.71	95
12	evosql	100.00	111
13	evosql	14.29	15
13	evosql	28.57	39
13	evosql	42.86	50
13	evosql	57.14	63
13	evosql	71.43	88
13	evosql	85.71	102
13	evosql	100.00	160
14	evosql	50.00	24
14	evosql	100.00	44
15	evosql	14.29	20
15	evosql	28.57	36
15	evosql	42.86	74
15	evosql	57.14	89
15	evosql	71.43	103
15	evosql	85.71	114
15	evosql	100.00	149
16	evosql	20.00	8
16	evosql	40.00	16
16	evosql	60.00	21
16	evosql	80.00	30
16	evosql	100.00	41
17	evosql	20.00	9
17	evosql	40.00	43
17	evosql	60.00	49
17	evosql	80.00	58
17	evosql	100.00	70
18	evosql	50.00	10
18	evosql	100.00	19
19	evosql	25.00	17
19	evosql	50.00	34
19	evosql	75.00	52
19	evosql	100.00	71
20	evosql	14.29	10
20	evosql	28.57	22
20	evosql	42.86	37
20	evosql	57.14	52
20	evosql	71.43	176
20	evosql	85.71	201
20	evosql	100.00	222
21	evosql	25.00	16
21	evosql	50.00	33
21	evosql	75.00	51
21	evosql	100.00	66
22	evosql	25.00	11
22	evosql	50.00	21
22	evosql	75.00	31
22	evosql	100.00	41
23	evosql	11.11	36
23	evosql	22.22	54
23	evosql	33.33	70
23	evosql	44.44	90
23	evosql	55.56	108
23	evosql	66.67	123
23	evosql	77.78	138
23	evosql	88.89	155
23	evosql	100.00	383
24	evosql	33.33	10
24	evosql	66.67	17
24	evosql	100.00	25
25	evosql	20.00	9
25	evosql	40.00	19
25	evosql	60.00	27
25	evosql	80.00	36
25	evosql	100.00	48
26	evosql	16.67	20
26	evosql	33.33	36
26	evosql	50.00	56
26	evosql	66.67	79
26	evosql	83.33	97
26	evosql	100.00	189
27	evosql	25.00	33
27	evosql	50.00	55
27	evosql	75.00	73
27	evosql	100.00	98
