Query Number	Algorithm	Path Number	Success Y/N	Runtime	Generations	Number Individual	Message	Exceptions
1	evosql	1	1	122	0	50		
1	evosql	2	1	35	0	50		
1	evosql	3	1	20	0	50		
2	evosql	1	1	52	0	50		
2	evosql	2	1	41	0	50		
2	evosql	3	1	29	0	50		
2	evosql	4	1	35	0	50		
2	evosql	5	1	28	0	50		
3	evosql	1	1	27	0	50		
3	evosql	2	1	23	0	50		
3	evosql	3	1	105	2	142		
3	evosql	4	1	25	0	50		
3	evosql	5	1	97	3	193		
3	evosql	6	1	37	1	100		
3	evosql	7	1	100	3	196		
3	evosql	8	1	69	2	146		
3	evosql	9	1	283	6	344		
4	evosql	1	1	53	0	50		
4	evosql	2	1	47	0	50		
4	evosql	3	1	55	0	50		
4	evosql	4	1	108	0	50		
4	evosql	5	1	45	0	50		
4	evosql	6	1	31	0	50		
4	evosql	7	1	31	0	50		
4	evosql	8	1	37	0	50		
4	evosql	9	1	38	0	50		
4	evosql	10	1	43	0	50		
5	evosql	1	1	32	0	50		
5	evosql	2	1	66	0	50		
5	evosql	3	1	21	0	50		
5	evosql	4	1	23	0	50		
5	evosql	5	1	19	0	50		
5	evosql	6	1	42	1	98		
5	evosql	7	1	26	0	50		
5	evosql	8	1	40	0	50		
6	evosql	1	1	17	0	50		
6	evosql	2	1	13	0	50		
6	evosql	3	1	14	0	50		
7	evosql	1	1	40	0	50		
7	evosql	2	1	24	0	50		
7	evosql	3	1	23	0	50		
7	evosql	4	1	21	0	50		
7	evosql	5	1	102	0	50		
8	evosql	1	1	16	0	50		
8	evosql	2	1	14	0	50		
8	evosql	3	1	13	0	50		
9	evosql	1	1	11	0	50		
9	evosql	2	1	10	0	50		
9	evosql	3	1	9	0	50		
10	evosql	1	1	13	0	50		
10	evosql	2	1	14	0	50		
10	evosql	3	1	14	0	50		
10	evosql	4	1	13	0	50		
11	evosql	1	1	18	0	50		
11	evosql	2	1	17	0	50		
12	evosql	1	1	20	0	50		
12	evosql	2	1	12	0	50		
12	evosql	3	1	9	0	50		
12	evosql	4	1	44	0	50		
12	evosql	5	1	52	3	195		
12	evosql	6	1	19	1	99		
12	evosql	7	1	9	0	50		
13	evosql	1	1	26	1	100		
13	evosql	2	1	19	1	97		
13	evosql	3	1	56	4	248		
13	evosql	4	1	8	0	50		
13	evosql	5	1	28	1	99		
13	evosql	6	1	14	0	50		
13	evosql	7	1	25	1	93		
14	evosql	1	1	27	0	50		
14	evosql	2	1	17	0	50		
15	evosql	1	1	10	0	50		
15	evosql	2	1	9	0	50		
15	evosql	3	1	14	1	94		
15	evosql	4	1	10	0	50		
15	evosql	5	1	11	0	50		
15	evosql	6	1	24	1	99		
15	evosql	7	1	24	1	100		
16	evosql	1	1	10	0	50		
16	evosql	2	1	10	0	50		
16	evosql	3	1	8	0	50		
16	evosql	4	1	8	0	50		
16	evosql	5	1	8	0	50		
17	evosql	1	1	10	0	50		
17	evosql	2	1	9	0	50		
17	evosql	3	1	8	0	50		
17	evosql	4	1	10	0	50		
17	evosql	5	1	6	0	50		
18	evosql	1	1	14	0	50		
18	evosql	2	1	10	0	50		
19	evosql	1	1	12	0	50		
19	evosql	2	1	14	0	50		
19	evosql	3	1	11	0	50		
19	evosql	4	1	13	0	50		
20	evosql	1	1	75	2	147		
20	evosql	2	1	24	1	96		
20	evosql	3	1	19	1	96		
20	evosql	4	1	9	0	50		
20	evosql	5	1	36	3	196		
20	evosql	6	1	32	3	198		
20	evosql	7	1	49	5	297		
21	evosql	1	1	20	0	50		
21	evosql	2	1	18	0	50		
21	evosql	3	1	17	0	50		
21	evosql	4	1	17	0	50		
22	evosql	1	1	34	0	50		
22	evosql	2	1	9	0	50		
22	evosql	3	1	9	0	50		
22	evosql	4	1	9	0	50		
23	evosql	1	1	17	0	50		
23	evosql	2	1	16	0	50		
23	evosql	3	1	15	0	50		
23	evosql	4	1	15	0	50		
23	evosql	5	1	17	0	50		
23	evosql	6	1	14	0	50		
23	evosql	7	1	14	0	50		
23	evosql	8	1	14	0	50		
23	evosql	9	1	27	1	94		
24	evosql	1	1	11	0	50		
24	evosql	2	1	7	0	50		
24	evosql	3	1	8	0	50		
25	evosql	1	1	10	0	50		
25	evosql	2	1	9	0	50		
25	evosql	3	1	8	0	50		
25	evosql	4	1	8	0	50		
25	evosql	5	1	6	0	50		
26	evosql	1	1	27	0	50		
26	evosql	2	1	17	0	50		
26	evosql	3	1	19	0	50		
26	evosql	4	1	15	0	50		
26	evosql	5	1	66	0	50		
26	evosql	6	1	17	0	50		
27	evosql	1	1	26	0	50		
27	evosql	2	1	19	0	50		
27	evosql	3	1	18	0	50		
27	evosql	4	1	26	0	50		
28	evosql	1	1	8	0	50		
28	evosql	2	1	7	0	50		
28	evosql	3	1	33	3	197		
28	evosql	4	1	11	0	50		
28	evosql	5	1	7	0	50		
28	evosql	6	1	13	1	97		
28	evosql	7	1	12	1	97		
28	evosql	8	1	7	0	50		
28	evosql	9	1	7	0	50		
29	evosql	1	1	21	0	50		
29	evosql	2	1	19	0	50		
29	evosql	3	1	82	2	142		
29	evosql	4	1	79	0	50		
29	evosql	5	1	18	0	50		
29	evosql	6	1	294	23	1123		
30	evosql	1	1	19	0	50		
30	evosql	2	1	8	0	50		
30	evosql	3	1	7	0	50		
30	evosql	4	1	11	0	50		
30	evosql	5	1	11	0	50		
31	evosql	1	1	9	0	50		
31	evosql	2	1	8	0	50		
31	evosql	3	1	7	0	50		
31	evosql	4	1	7	0	50		
32	evosql	1	1	19	0	50		
32	evosql	2	1	13	0	50		
32	evosql	3	1	14	0	50		
32	evosql	4	1	15	0	50		
32	evosql	5	1	19	0	50		
32	evosql	6	1	18	0	50		
32	evosql	7	1	24	0	50		
33	evosql	1	1	17	0	50		
33	evosql	2	1	19	0	50		
33	evosql	3	1	13	0	50		
33	evosql	4	1	42	0	50		
34	evosql	1	1	9	0	50		
34	evosql	2	1	8	0	50		
34	evosql	3	1	8	0	50		
34	evosql	4	1	9	0	50		
34	evosql	5	1	7	0	50		
35	evosql	1	1	6	0	50		
35	evosql	2	1	6	0	50		
35	evosql	3	1	6	0	50		
35	evosql	4	1	6	0	50		
35	evosql	5	1	6	0	50		
36	evosql	1	1	18	0	50		
36	evosql	2	1	19	0	50		
36	evosql	3	1	13	0	50		
36	evosql	4	1	14	0	50		
36	evosql	5	1	20	0	50		
37	evosql	1	1	6	0	50		
37	evosql	2	1	5	0	50		
37	evosql	3	1	5	0	50		
37	evosql	4	1	5	0	50		
37	evosql	5	1	5	0	50		
38	evosql	1	1	11	0	50		
38	evosql	2	1	10	0	50		
38	evosql	3	1	10	0	50		
38	evosql	4	1	7	0	50		
39	evosql	1	1	5	0	50		
39	evosql	2	1	5	0	50		
39	evosql	3	1	4	0	50		
39	evosql	4	1	5	0	50		
39	evosql	5	1	20	0	50		
40	evosql	1	1	19	0	50		
40	evosql	2	1	14	0	50		
40	evosql	3	1	14	0	50		
40	evosql	4	1	12	0	50		
41	evosql	1	1	41	0	50		
41	evosql	2	1	34	0	50		
41	evosql	3	1	146	3	187		
41	evosql	4	1	28	0	50		
41	evosql	5	1	343	5	281		
41	evosql	6	1	25	0	50		
41	evosql	7	1	486	9	478		
41	evosql	8	1	21	0	50		
41	evosql	9	1	127	3	194		
41	evosql	10	1	17	0	50		
41	evosql	11	1	20	0	50		
41	evosql	12	1	773	16	808		
42	evosql	1	1	29	0	50		
42	evosql	2	1	29	0	50		
42	evosql	3	1	22	0	50		
42	evosql	4	1	21	0	50		
42	evosql	5	1	28	0	50		
42	evosql	6	1	107	0	50		
43	evosql	1	1	44	0	50		
43	evosql	2	1	84	2	142		
43	evosql	3	1	28	0	50		
43	evosql	4	1	28	0	50		
43	evosql	5	1	25	0	50		
43	evosql	6	1	32	0	50		
43	evosql	7	1	45	1	98		
43	evosql	8	1	21	0	50		
43	evosql	9	1	213	1	96		
43	evosql	10	1	58	2	143		
43	evosql	11	1	21	0	50		
43	evosql	12	1	18	0	50		
43	evosql	13	1	19	0	50		
43	evosql	14	1	137	6	329		
