Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	788	3	3	[0.0, 0.0, 0.0]	0	100	
1	MOTGA	12	3	3	[0.0, 0.0, 0.0]	0	24	
2	MoeSQLmosa	81	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
2	MOTGA	60	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
3	MoeSQLmosa	604	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	8	469	
3	MOTGA	98	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	255	
4	MoeSQLmosa	215	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	150	
4	MOTGA	997	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	330	
5	MoeSQLmosa	138	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	150	
5	MOTGA	198	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3	127	
6	MoeSQLmosa	22	3	3	[0.0, 0.0, 0.0]	0	100	
6	MOTGA	5	3	3	[0.0, 0.0, 0.0]	0	15	
7	MoeSQLmosa	52	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
7	MOTGA	19	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	40	
8	MoeSQLmosa	20	3	3	[0.0, 0.0, 0.0]	0	100	
8	MOTGA	5	3	3	[0.0, 0.0, 0.0]	0	24	
9	MoeSQLmosa	29	3	3	[0.0, 0.0, 0.0]	0	100	
9	MOTGA	5	3	3	[0.0, 0.0, 0.0]	0	24	
10	MoeSQLmosa	16	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
10	MOTGA	8	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
11	MoeSQLmosa	25	2	2	[0.0, 0.0]	0	100	
11	MOTGA	1	2	2	[0.0, 0.0]	0	5	
12	MoeSQLmosa	32	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
12	MOTGA	25	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
13	MoeSQLmosa	114	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4	289	
13	MOTGA	34	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	134	
14	MoeSQLmosa	54	2	2	[0.0, 0.0]	0	100	
14	MOTGA	3	2	2	[0.0, 0.0]	0	11	
15	MoeSQLmosa	54	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	2	195	
15	MOTGA	28	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
16	MoeSQLmosa	16	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
16	MOTGA	12	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
17	MoeSQLmosa	15	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
17	MOTGA	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
18	MoeSQLmosa	43	2	2	[0.0, 0.0]	0	100	
18	MOTGA	2	2	2	[0.0, 0.0]	0	11	
19	MoeSQLmosa	20	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
19	MOTGA	11	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
20	MoeSQLmosa	222	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	6	382	
20	MOTGA	32	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	152	
21	MoeSQLmosa	25	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
21	MOTGA	8	4	4	[0.0, 0.0, 0.0, 0.0]	0	33	
22	MoeSQLmosa	20	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
22	MOTGA	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
23	MoeSQLmosa	262	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	11	650	
23	MOTGA	212	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0]	7	188	
24	MoeSQLmosa	43	3	3	[0.0, 0.0, 0.0]	0	100	
24	MOTGA	4	3	3	[0.0, 0.0, 0.0]	0	15	
25	MoeSQLmosa	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
25	MOTGA	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
26	MoeSQLmosa	39	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
26	MOTGA	19	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 2.0]	2	80	
27	MoeSQLmosa	40	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
27	MOTGA	18	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
28	MoeSQLmosa	53	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3	240	
28	MOTGA	38	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	255	
