Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	2	[0.0, 21.604331604331605, 0.0]
1	MoeSQLmosa	1	1	[1.0, 0.0, 1.0]
1	MOTGA	0	3	[0.0, 0.0, 0.0]
2	MoeSQLmosa	0	2	[36.0, 0.0, 1.0, 37.0, 0.0]
2	MoeSQLmosa	1	1	[8.0, 9.0, 9.0, 0.0, 1.0]
2	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0, 1.0]
2	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
2	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
3	MoeSQLmosa	0	1	[5.095663650075415, 0.0, 1.0, 6.095663650075415, 6.095663650075415, 6.095663650075415, 6.095663650075415, 6.095663650075415, 6.095663650075415]
3	MoeSQLmosa	1	1	[5.017094017094017, 6.017094017094017, 6.017094017094017, 0.0, 1.0, 6.017094017094017, 6.017094017094017, 6.017094017094017, 6.017094017094017]
3	MoeSQLmosa	2	1	[8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0]
3	MoeSQLmosa	3	1	[26.79107142857143, 27.79107142857143, 27.79107142857143, 27.79107142857143, 27.79107142857143, 0.0, 1.0, 27.79107142857143, 27.79107142857143]
3	MoeSQLmosa	4	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
3	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
3	MoeSQLmosa	7	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MoeSQLmosa	8	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
3	MOTGA	0	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	MoeSQLmosa	0	3	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0]
4	MoeSQLmosa	1	4	[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0]
4	MoeSQLmosa	2	2	[24.91269841269841, 25.91269841269841, 25.91269841269841, 25.91269841269841, 25.91269841269841, 25.91269841269841, 25.91269841269841, 0.0, 1.0, 0.0]
4	MoeSQLmosa	3	2	[8.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0, 10.0, 11.0, 2.0]
4	MoeSQLmosa	4	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 3.0, 1.7976931348623156E306]
4	MoeSQLmosa	5	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.0, 0.0, 0.0]
4	MoeSQLmosa	6	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0]
4	MoeSQLmosa	7	2	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 2.0]
4	MOTGA	0	11	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5	MoeSQLmosa	0	2	[22.5, 23.5, 23.5, 23.5, 23.5, 23.5, 0.0, 0.0]
5	MoeSQLmosa	1	3	[8.0, 9.0, 9.0, 0.0, 0.0, 1.0, 2.0, 9.0]
5	MoeSQLmosa	2	2	[20.07675341800729, 21.07675341800729, 21.07675341800729, 21.07675341800729, 21.07675341800729, 21.07675341800729, 0.0, 0.0]
5	MoeSQLmosa	3	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 2.0, 1.7976931348623156E306]
5	MoeSQLmosa	4	2	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306]
5	MoeSQLmosa	5	2	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]
